dist_pct,wall_oi,wall_oi_log,oi_concentration,oi_change_ratio,wall_chg_oi,oi_building,strike_pcr,pcr,vol_pcr,max_pain_dist,wall_to_maxpain,wall_iv,iv_vs_atm,depth_ratio,support_depth_log,oi_skew,wall_vol,wall_vol_log,wall_vol_ratio,competing_walls,premium_pct,premium,net_oi_bias,total_oi_log,n_strikes,wall_type,spot,strike,date,held_1d,breach_pct_1d,held_2d,breach_pct_2d,held_3d,breach_pct_3d,held_5d,breach_pct_5d,premium_pnl,premium_pnl_pct
1.404,5217950,15.468,8.653,-0.2232,-1164500,0,0.04,0.775,0.904,-0.137,1.268,1.0,0.263,1.936,16.128,0.742,828915,13.628,0.983,5,0.0006,0.1,0.812,17.915,21,0,15778.4501953125,16000,2021-07-29,1,0.0,1,0.0,0,0.829,0,1.867,-9.35,-8500.0
0.4,2720300,14.816,5.963,0.3161,859950,1,2.483,0.653,0.859,-0.234,0.634,7.43,0.685,2.38,15.683,0.557,1001886,13.817,3.435,5,0.3803,59.95,-0.2966,17.636,21,1,15763.0498046875,15700,2021-07-30,1,0.0,1,0.0,1,0.0,1,0.0,41.3,68.88
0.869,4308300,15.276,9.444,0.5295,2281350,1,0.143,0.653,0.859,-0.234,0.634,3.25,0.3,2.453,16.173,0.557,986081,13.801,3.381,6,0.1662,26.2,-0.2966,17.636,21,0,15763.0498046875,15900,2021-07-30,1,0.0,0,1.464,0,2.276,0,2.503,-27.9,-106.45
0.536,5829900,15.579,9.59,0.5547,3234100,1,1.459,0.828,0.814,0.221,0.315,6.66,0.564,2.341,16.429,0.898,1224824,14.018,4.406,3,0.2411,38.3,0.4774,17.923,21,1,15885.150390625,15800,2021-08-02,1,0.0,1,0.0,1,0.0,1,0.0,24.4,63.69
0.723,4217650,15.255,6.938,0.2459,1036950,1,0.14,0.828,0.814,0.221,0.944,3.25,0.275,2.609,16.214,0.898,1000003,13.816,3.597,7,0.1177,18.7,0.4774,17.923,21,0,15885.150390625,16000,2021-08-02,0,0.823,0,1.629,0,1.855,0,1.855,-131.1,-700.69
1.43,6700200,15.718,9.013,0.6233,4176350,1,2.783,1.06,0.669,0.811,0.62,4.35,0.3,2.754,16.731,1.792,1545273,14.251,3.091,4,0.1286,20.75,0.9588,18.124,21,1,16130.75,15900,2021-08-03,1,0.0,1,0.0,1,0.0,1,0.0,16.7,80.44
0.429,3646700,15.109,4.906,0.2213,807100,1,0.159,1.06,0.669,0.811,1.24,6.59,0.455,2.969,16.198,1.792,1352012,14.117,2.705,10,0.1947,31.4,0.9588,18.124,21,0,16130.75,16200,2021-08-03,0,0.365,0,0.586,0,0.586,0,0.586,-45.75,-145.65
1.592,4887250,15.402,6.882,-0.354,-1730050,0,3.299,0.946,0.851,0.669,0.923,1.49,0.108,2.694,16.393,1.476,1238576,14.029,2.235,6,0.0311,5.05,0.2576,18.078,21,1,16258.7998046875,16000,2021-08-04,1,0.0,1,0.0,1,0.0,1,0.0,4.85,95.85
0.868,4785950,15.381,6.739,0.3429,1641050,1,0.035,0.946,0.851,0.669,1.538,1.19,0.087,2.719,16.382,1.476,1553847,14.256,2.804,5,0.0249,4.05,0.2576,18.078,21,0,16258.7998046875,16400,2021-08-04,1,0.0,1,0.0,1,0.0,1,0.0,3.95,97.29
0.581,4011600,15.205,6.957,-0.1194,-479100,0,3.342,0.821,1.033,0.581,0.0,1.0,0.438,2.273,16.026,0.898,3388865,15.036,3.914,6,0.0018,0.3,-0.1671,17.87,21,1,16294.599609375,16200,2021-08-05,1,0.0,1,0.0,1,0.0,1,0.0,-70.05,-22596.77
