date,category,buy_value,sell_value,net_value
2014-04-03,FII_estimate,32.64369684836534,0.0,32.64369684836534
2014-04-04,FII_estimate,0.0,2.9755595007169147,-2.9755595007169147
2014-04-07,FII_estimate,0.0696866214948841,0.0,0.0696866214948841
2014-04-09,FII_estimate,20.72753866842449,0.0,20.72753866842449
2014-04-10,FII_estimate,10.07558085750017,0.0,10.07558085750017
2014-04-11,FII_estimate,5.3362580046656545,0.0,5.3362580046656545
2014-04-15,FII_estimate,12.532528163559999,0.0,12.532528163559999
2014-04-16,FII_estimate,0.0,16.10511316886342,-16.10511316886342
2014-04-17,FII_estimate,0.0,7.264023852059699,-7.264023852059699
2014-04-21,FII_estimate,3.4576769563958836,0.0,3.4576769563958836
2014-04-22,FII_estimate,8.882138316418166,0.0,8.882138316418166
2014-04-23,FII_estimate,25.167528575455357,0.0,25.167528575455357
2014-04-25,FII_estimate,18.743904042171646,0.0,18.743904042171646
2014-04-28,FII_estimate,0.0,11.728421526432708,-11.728421526432708
2014-04-29,FII_estimate,0.0,38.36175737832269,-38.36175737832269
2014-04-30,FII_estimate,0.0,34.10468436478152,-34.10468436478152
2014-05-02,FII_estimate,0.0,32.85309672407665,-32.85309672407665
2014-05-05,FII_estimate,0.0,6.568721045302803,-6.568721045302803
2014-05-06,FII_estimate,0.0,4.853144105623196,-4.853144105623196
2014-05-07,FII_estimate,0.0,7.656411775117766,-7.656411775117766
2014-05-08,FII_estimate,0.0,2.09061081423244,-2.09061081423244
2014-05-09,FII_estimate,52.864106358224475,0.0,52.864106358224475
2014-05-12,FII_estimate,96.17303684442103,0.0,96.17303684442103
2014-05-13,FII_estimate,127.04075198957553,0.0,127.04075198957553
2014-05-14,FII_estimate,145.3846198683254,0.0,145.3846198683254
2014-05-15,FII_estimate,144.25652355186136,0.0,144.25652355186136
2014-05-16,FII_estimate,108.7767585795564,0.0,108.7767585795564
2014-05-19,FII_estimate,91.9037997204747,0.0,91.9037997204747
2014-05-20,FII_estimate,64.34318614345447,0.0,64.34318614345447
2014-05-21,FII_estimate,52.595825359777145,0.0,52.595825359777145
2014-05-22,FII_estimate,54.74980651021144,0.0,54.74980651021144
2014-05-23,FII_estimate,63.0675342006143,0.0,63.0675342006143
2014-05-26,FII_estimate,28.654845653691048,0.0,28.654845653691048
2014-05-27,FII_estimate,6.9923343381104335,0.0,6.9923343381104335
2014-05-28,FII_estimate,13.456964912394582,0.0,13.456964912394582
2014-05-29,FII_estimate,0.0,13.357034437914015,-13.357034437914015
2014-05-30,FII_estimate,0.0,48.038407441754906,-48.038407441754906
